"emy-trex-name","Тираннозавр Рекс"
"it-trexTooth-name","Клык тираннозавра"
"it-trexTooth","Клык тираннозавра. Очень ценный."
"zn-trex-name","Тираннозавр"
"evt-harbor-quest-trex-fail","$name stormed off [in anger|in a rage|angrily]. We later found out [$he had been venting to his colleagues|$he had loudly complained that night|$he was heard yelling well into the night] about our incompetence and lack of reliability. Our reputation wouldn't soon recover."
"evt-harbor-quest-trex-fail-action","Don't give a tooth"
"evt-harbor-quest-trex-complete-action","Отдай это"
"evt-harbor-quest-trex-complete","Когда мы собирались уходить, охотник, который подошел к нам около гигантской ящерицы перед нашим последним путешествием, махал мне с причала. Он спросил, удалось ли нам получить доказательства и готовы ли мы поделиться некоторыми из них с ним."
"evt-harbor-quest-trex-complete-1","$name благодарил нас [без конца|без конца]. В благодарность он предложил профинансировать часть нашей следующей экспедиции, которую я с радостью принял."
"evt-harbor-quest-trex-complete-report","$name благодарил нас [без конца|без конца]. В благодарность он предложил профинансировать часть нашей следующей экспедиции, которую я с радостью принял."
"evt-trex-hunt-quest","Ко мне подошел охотник, который рассказал мне легенды о гигантской ящерице, которая бродит по пустыне, куда мы направлялись. Он попросил, чтобы если мы столкнемся с этим существом, мы принесли ему один из его огромных зубов."
"evt-trex-hunt-accept","Я согласился, хотя мое сердце опасалось встречи с таким грозным противником"
"evt-trex-hunt-refuse","Я подумал, что разумнее не испытывать нашу силу с врагом такого роста. Охотник ушел с разочарованным выражением лица"
"trex-mod-desc","Этот мод добавляет в игру тираннозавра и связанную с ним цепочку квестов."
